Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
IGTI11,"18,87","29,74","2,83","6,849","0,00%","0,687","3,44","19,02","-2,47","26,41","16,65","36,02%","46,31%","5,31","4,56%","9,51%","44.705.000,00","1.762.140.000,00","1,94","1,01%"
BRFS3,"15,43","29,89","1,48","0,259","0,00%","0,224","2,50","4,46","-0,60","10,71","5,42","5,82%","0,90%","1,24","8,36%","4,96%","283.628.000,00","8.462.530.000,00","3,01","10,56%"
BSCT5,"3,50","30,51","2,76","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","9,05%","0,00","212.960.000,00","0,00","1,92%"
TUPY4,"48,21","30,51","2,58","1,104","0,00%","1,074","3,02","12,42","388,77","14,18","8,69","8,89%","3,62%","2,54","12,32%","8,47%","0,00","2.690.750.000,00","0,77","11,20%"
STBP3,"6,14","30,76","2,34","3,920","4,23%","1,115","5,73","18,27","-4,65","15,79","9,77","21,46%","12,75%","3,17","8,19%","7,61%","30.931.000,00","2.261.990.000,00","0,18","10,16%"
FIGE4,"38,01","30,86","0,39","18,160","0,00%","0,385","17,65","19,38","19,15","19,33","19,33","93,69%","58,85%","28,23","1,99%","1,25%","0,00","232.713.000,00","0,00","-67,79%"
BRGE6,"9,00","30,91","0,53","152,757","8,36%","0,215","0,57","-1,22","1,34","1,45","1,45","-12.515,70%","545,01%","2,80","-33,35%","1,72%","0,00","1.249.660.000,00","0,00","-29,81%"
BRGE8,"9,01","30,95","0,53","152,927","3,48%","0,216","0,57","-1,22","1,34","1,44","1,45","-12.515,70%","545,01%","2,80","-33,35%","1,72%","328,85","1.249.660.000,00","0,00","-29,81%"
CREM3,"14,50","32,69","2,45","0,685","0,00%","0,670","4,89","8,52","-5,41","12,04","7,07","8,05%","2,10%","1,29","11,36%","7,50%","0,00","189.701.000,00","1,58","-0,27%"
CCRO3,"11,37","33,02","2,78","1,876","1,46%","0,555","11,17","6,45","-0,92","12,35","6,55","29,06%","6,58%","1,35","10,15%","8,42%","101.837.000,00","8.264.760.000,00","3,24","3,18%"
TSEP3,"40,00","33,05","1,79","1,768","0,00%","1,250","5,24","20,44","6,11","17,91","17,91","8,65%","5,35%","1,88","9,10%","5,43%","0,00","2.047.020.000,00","0,00","4,50%"
ELEK4,"26,00","33,27","3,62","0,842","0,25%","1,452","5,10","70,89","-150,12","84,56","33,61","1,19%","2,53%","1,94","2,52%","10,87%","0,00","226.327.000,00","0,99","5,69%"
SOMA3,"12,71","33,84","1,39","4,867","0,00%","1,047","6,30","45,98","27,60","49,30","31,76","10,58%","14,38%","2,40","2,50%","4,11%","63.550.200,00","7.173.400.000,00","0,14","0,00%"
MERC3,"25,00","34,08","1,75","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","5,14%","0,00","257.129.000,00","0,00","-36,36%"
ALSO3,"21,47","34,71","0,85","6,502","1,05%","0,512","4,65","14,99","-3,59","17,27","11,51","43,36%","22,64%","3,18","3,88%","2,46%","30.497.300,00","6.693.810.000,00","0,32","31,67%"
FIGE3,"43,00","34,91","0,44","20,544","0,00%","0,436","19,96","21,93","21,66","21,88","21,88","93,69%","58,85%","28,23","1,99%","1,25%","0,00","232.713.000,00","0,00","-67,79%"
ELCA3,"24,70","34,98","14,06","3,563","0,00%","2,164","28,62","16,97","-4,41","19,45","16,07","21,00%","13,89%","1,35","14,70%","40,20%","0,00","3.706.950.000,00","2,48","11,65%"
RPAD5,"8,00","34,99","0,65","0,000","7,04%","0,646","11,17","-185,00","11,19","-166,05","-166,05","0,00%","0,00%","7,26","-0,37%","1,86%","5.063,15","1.038.890.000,00","0,00","-30,32%"
CTIP3,"49,50","35,13","8,76","8,248","0,00%","3,774","-71,28","21,15","-14,32","21,42","18,26","38,99%","23,48%","0,85","24,63%","24,94%","0,00","1.486.250.000,00","0,67","13,43%"
TNLP3,"27,75","35,39","0,96","0,468","0,00%","0,170","1,76","4,63","-0,45","10,31","10,31","10,12%","-0,07%","1,48","4,58%","2,72%","0,00","13.736.000.000,00","2,02","15,39%"
PNVL4,"18,62","35,48","2,72","0,893","0,00%","1,242","4,46","36,99","31,12","43,39","14,70","2,41%","2,52%","1,91","4,42%","7,67%","0,00","1.029.350.000,00","0,67","9,09%"
UGPA4,"27,10","35,53","3,00","0,275","0,00%","0,775","2,44","20,06","-8,59","29,11","18,12","1,37%","0,81%","1,98","5,17%","8,45%","0,00","10.066.900.000,00","1,76","5,36%"
BRGE5,"10,41","35,76","0,61","176,689","0,00%","0,249","0,66","-1,41","1,55","1,25","1,26","-12.515,70%","545,01%","2,80","-33,35%","1,72%","0,00","1.249.660.000,00","0,00","-29,81%"
VIGR3,"25,00","36,57","2,55","0,763","0,00%","0,899","11,45","12,39","-5,02","15,20","22,95","6,16%","2,28%","1,26","9,06%","6,98%","0,00","1.593.560.000,00","0,84","54,72%"
WEGE3,"31,51","36,88","9,72","5,613","1,44%","5,526","16,49","30,39","21,96","30,06","26,85","18,47%","15,52%","2,01","23,40%","26,36%","257.095.000,00","13.605.000.000,00","0,13","24,48%"
BRML3,"9,18","37,99","0,71","7,400","0,00%","0,392","4,97","12,48","-1,23","16,53","15,43","59,28%","15,96%","3,94","3,43%","1,87%","186.910.000,00","10.717.700.000,00","0,38","-6,16%"
PINE4,"1,51","38,02","0,29","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,76%","634.280,00","779.133.000,00","0,00","58,46%"
ALSC3,"27,75","38,57","2,20","10,717","0,95%","1,202","9,41","19,33","-4,22","17,49","14,08","55,45%","29,30%","5,39","7,03%","5,69%","0,00","2.593.960.000,00","0,00","2,34%"
DMVF3,"3,86","38,98","0,24","0,180","0,00%","0,133","2,90","2,37","-0,85","1,70","0,82","7,60%","0,46%","1,20","7,00%","0,61%","430.065,00","823.207.000,00","0,08","0,00%"
RHDS3,"0,11","39,98","3,24","0,548","0,00%","0,790","-65,29","7,49","-2,70","10,70","8,06","7,31%","1,17%","0,97","11,80%","8,12%","0,00","272.045.000,00","1,49","4,38%"
ALLL11,"16,50","40,65","0,41","0,822","0,00%","0,127","0,77","3,88","-0,29","11,33","5,24","21,18%","2,09%","2,79","4,14%","1,02%","0,00","14.795.400.000,00","1,43","5,17%"
ALLL4,"3,32","40,89","0,42","0,827","0,00%","0,128","0,78","3,91","-0,30","11,35","5,25","21,18%","2,09%","2,79","4,14%","1,02%","0,00","14.795.400.000,00","1,43","5,17%"
RAIA3,"30,50","41,22","2,98","0,897","0,00%","1,777","4,31","18,18","5,06","16,73","16,73","4,93%","2,18%","2,20","17,80%","7,22%","0,00","635.785.000,00","0,12","0,00%"
CSAB4,"50,00","41,24","2,21","132,826","4,09%","1,024","0,00","65,55","0,00","0,00","0,00","202,63%","322,07%","0,00","0,00%","5,36%","765,98","173.654.000,00","0,00","-10,08%"
CVCB3,"11,06","41,57","4,79","3,688","0,00%","0,470","121,35","-6,05","-1,70","-6,60","-11,12","-60,92%","7,66%","1,01","-10,35%","11,51%","143.184.000,00","519.798.000,00","1,91","-15,11%"
IMCH3,"6,39","41,83","0,59","0,336","0,00%","0,289","-9,49","12,28","-0,78","21,16","6,62","2,73%","0,80%","0,82","2,55%","1,40%","0,00","920.589.000,00","0,51","21,04%"
CBEE3,"21,00","41,96","0,94","0,413","0,00%","0,216","-2,00","3,55","-0,40","9,26","6,15","11,63%","0,98%","0,69","6,79%","2,25%","6.160,39","3.712.960.000,00","1,61","11,13%"
LREN3,"24,13","42,01","2,51","2,442","1,72%","1,226","3,38","15,91","9,51","14,30","9,04","15,35%","5,81%","2,31","12,21%","5,98%","283.431.000,00","9.497.620.000,00","0,35","6,04%"
SULA4,"11,27","43,30","1,77","0,707","0,66%","0,495","1,32","-52,86","-11,73","-0,14","-0,31","-1,34%","1,63%","2,24","-2,38%","4,09%","678.062,00","8.135.840.000,00","0,40","2,45%"
PTQS4,"189,46","43,43","2,19","4,717","0,00%","1,577","9,89","-7.214,41","-35,73","-7.466,35","-7.466,35","-0,07%","11,37%","3,32","-0,02%","5,04%","0,00","1.714.950.000,00","0,24","56,13%"
UOLL4,"19,62","43,52","2,35","2,054","0,00%","1,403","457,14","15,14","-12,83","16,49","16,49","13,56%","4,69%","1,01","10,57%","5,40%","0,00","1.003.690.000,00","0,23","21,99%"
CEGR3,"79,89","43,68","20,32","4,700","1,47%","5,547","-37,75","26,29","-11,43","27,55","23,36","17,88%","10,76%","0,62","25,80%","46,52%","531,17","1.020.780.000,00","1,17","0,17%"
SULA11,"34,70","44,44","1,82","0,726","0,65%","0,508","1,35","-54,25","-12,04","-1,54","-3,33","-1,34%","1,63%","2,24","-2,38%","4,09%","154.862.000,00","8.135.840.000,00","0,40","2,45%"
SULA3,"11,75","45,14","1,85","0,737","0,64%","0,516","1,38","-55,11","-12,23","-2,40","-5,19","-1,34%","1,63%","2,24","-2,38%","4,09%","433.716,00","8.135.840.000,00","0,40","2,45%"
YDUQ3,"19,54","46,50","1,80","1,403","2,40%","0,608","11,77","13,85","-1,69","21,36","8,32","10,13%","3,02%","1,21","5,60%","3,88%","57.677.900,00","3.346.510.000,00","1,54","5,65%"
NATU3,"36,86","47,40","4,72","1,648","0,00%","1,368","8,14","13,62","-4,98","15,49","9,75","12,10%","3,48%","1,63","13,63%","9,96%","0,00","7.187.700.000,00","1,17","25,36%"
ALLL3,"3,97","48,90","0,50","0,989","0,00%","0,153","0,93","4,67","-0,35","12,11","5,60","21,18%","2,09%","2,79","4,14%","1,02%","0,00","14.795.400.000,00","1,43","5,17%"
AMER3,"30,09","49,10","1,68","1,176","0,00%","0,600","3,11","26,78","-3,99","32,20","13,98","4,39%","2,40%","1,64","3,45%","3,42%","241.969.000,00","15.911.000.000,00","0,78","31,83%"
PLTO6,"10,47","50,81","692.616,00","0,690","0,00%","0,901","2,90","55,05","-1,55","56,35","56,35","1,25%","1,36%","3,87","1,74%","1.363.200,00%","0,00","1.000,00","21.227,00","8,78%"
RADL3,"23,79","52,26","8,40","1,629","0,93%","2,660","21,56","29,62","-16,81","30,48","15,44","5,50%","3,17%","1,31","12,33%","16,08%","164.381.000,00","4.677.670.000,00","0,32","16,28%"
AALR3,"17,25","53,09","1,69","1,759","0,00%","0,783","-45,34","16,19","-2,56","21,07","10,70","10,87%","4,14%","0,93","5,31%","3,19%","8.421.030,00","1.205.650.000,00","0,64","-0,38%"
PLTO5,"10,94","53,09","723.708,00","0,721","0,00%","0,942","3,03","57,52","-1,62","58,82","58,82","1,25%","1,36%","3,87","1,74%","1.363.200,00%","0,00","1.000,00","21.227,00","8,78%"
FFTL3,"25,00","53,22","2,26","3,410","0,00%","1,508","23,71","20,90","-15,54","20,55","20,55","16,32%","8,16%","1,37","8,91%","4,24%","0,00","6.274.030.000,00","0,07","7,79%"
FFTL4,"25,06","53,34","2,26","3,418","0,00%","1,512","23,77","20,95","-15,58","20,60","20,60","16,32%","8,16%","1,37","8,91%","4,24%","0,00","6.274.030.000,00","0,07","7,79%"
CSAB3,"65,00","53,61","2,87","172,674","2,86%","1,331","0,00","85,22","0,00","0,00","0,00","202,63%","322,07%","0,00","0,00%","5,36%","0,00","173.654.000,00","0,00","-10,08%"
TOTS3,"32,48","54,40","4,74","6,151","0,92%","2,016","9,25","18,46","736,55","17,15","13,83","33,33%","11,48%","1,65","16,52%","8,71%","144.860.000,00","4.232.930.000,00","0,44","9,13%"
BSEV3,"9,00","56,31","-10,76","0,889","0,00%","0,776","-1,59","4,40","-1,02","7,59","3,70","20,19%","1,58%","0,39","20,66%","-19,12%","0,00","-853.187.000,00","-8,95","7,12%"
SCAR3,"34,10","57,13","1,26","6,835","1,07%","0,569","-8,11","12,84","-1,24","23,87","17,96","53,22%","11,94%","0,55","4,58%","2,21%","133.382,00","1.562.350.000,00","1,15","-12,95%"
GVTT3,"57,70","57,38","3,68","4,312","0,00%","2,268","21,82","25,92","-18,43","26,65","26,65","16,64%","7,52%","1,66","10,32%","6,42%","0,00","2.150.790.000,00","0,24","31,47%"
NTCO3,"22,21","57,82","1,10","0,756","0,00%","0,523","7,07","14,77","-2,24","18,30","7,90","5,12%","1,29%","1,34","4,42%","1,90%","266.041.000,00","27.849.900.000,00","0,46","2,92%"
MGLU3,"6,29","59,19","3,90","1,181","0,24%","1,390","6,50","78,91","215,44","79,37","32,47","1,50%","2,00%","1,49","2,79%","6,60%","841.054.000,00","10.872.500.000,00","0,22","33,50%"
AEDU3,"18,35","59,34","3,32","4,141","0,00%","2,159","17,00","41,06","-21,55","43,27","29,01","10,08%","6,98%","2,04","5,77%","5,60%","0,00","2.415.400.000,00","0,30","20,90%"
BAUH4,"79,88","59,66","4,22","2,380","0,84%","2,579","-32,89","769,62","-26,65","749,49","75,76","0,31%","3,99%","0,79","0,51%","7,07%","51.993,30","98.830.000,00","0,00","2,41%"
SUBA3,"84,00","61,95","8,39","8,067","0,00%","6,778","8,03","115,78","8,09","106,17","106,17","6,97%","13,02%","5,55","19,11%","13,54%","0,00","530.396.000,00","0,00","0,00%"
AERI3,"5,91","65,44","4,53","1,821","0,00%","1,466","3,55","23,07","-44,16","25,96","22,22","7,89%","2,78%","2,80","11,21%","6,92%","13.457.000,00","999.592.000,00","1,46","12,56%"
ROMI4,"185,00","66,58","14,08","9,806","0,00%","6,941","23,07","65,46","77,65","67,43","55,98","14,98%","14,76%","2,02","12,56%","21,15%","0,00","963.288.000,00","0,60","18,66%"
RDOR3,"51,30","71,25","7,22","5,312","2,59%","2,020","6,05","26,32","-7,27","29,83","23,28","20,19%","8,04%","4,36","10,66%","10,13%","205.977.000,00","14.285.100.000,00","1,89","46,09%"
DAGB33,"375,00","71,75","1,60","0,640","0,00%","0,510","15,24","11,87","-1,27","19,35","30,65","5,39%","1,67%","1,17","4,96%","2,24%","0,00","12.597.300.000,00","1,18","32,08%"
CTPC3,"0,20","76,36","1,08","0,000","0,00%","0,097","0,00","-16,86","0,00","-18,75","-18,75","0,00%","0,00%","0,00","0,00%","1,41%","0,00","2.411.000,00","0,00","-6,10%"
ANIM3,"7,20","82,72","1,13","1,325","0,00%","0,282","7,65","9,32","-0,48","23,40","11,61","14,21%","1,75%","1,31","3,31%","1,36%","20.715.500,00","2.577.160.000,00","2,00","19,40%"
RLOG3,"23,08","82,76","4,26","1,534","0,00%","0,229","1,49","5,32","-0,50","12,43","6,68","28,85%","7,07%","2,64","5,36%","5,15%","0,00","2.507.240.000,00","9,08","8,76%"
CASN3,"15,01","94,06","8,54","11,008","0,23%","3,407","197,00","52,87","-7,18","58,10","39,23","20,82%","11,70%","1,16","6,71%","9,08%","0,00","1.538.470.000,00","0,92","6,60%"
HGTX3,"37,50","101,99","3,57","4,178","0,28%","2,480","7,50","105,87","9,93","106,77","42,50","3,95%","4,10%","2,47","3,00%","3,51%","0,00","1.704.940.000,00","0,12","-4,62%"
PQUN4,"15,44","104,31","1,88","0,545","0,00%","0,523","7,57","19,50","-0,97","40,25","40,25","2,80%","0,52%","1,61","3,02%","1,81%","0,00","858.692.000,00","2,28","5,19%"
PQUN3,"15,44","104,31","1,88","0,545","0,00%","0,523","7,57","19,50","-0,97","40,25","40,25","2,80%","0,52%","1,61","3,02%","1,81%","0,00","858.692.000,00","2,28","5,19%"
BRPR3,"7,43","110,04","0,50","10,796","2,75%","0,312","9,26","16,16","-1,13","25,18","24,98","66,79%","9,81%","1,56","2,11%","0,45%","12.800.600,00","7.101.700.000,00","0,41","-8,14%"
PETZ3,"17,52","111,48","13,73","4,129","0,23%","3,966","112,51","45,07","-10,77","45,82","23,13","9,16%","3,70%","1,11","11,07%","12,32%","117.269.000,00","585.296.000,00","0,51","0,00%"
TMAR6,"42,01","112,59","0,71","0,519","0,00%","0,181","1,49","4,04","-0,50","8,29","3,21","12,84%","-0,42%","1,62","5,78%","0,63%","0,00","20.448.500.000,00","1,38","14,80%"
TMAR5,"42,67","114,35","0,72","0,527","0,00%","0,184","1,51","4,10","-0,51","8,35","3,24","12,84%","-0,42%","1,62","5,78%","0,63%","0,00","20.448.500.000,00","1,38","14,80%"
FLCL6,"9,91","115,65","61,25","11,283","0,00%","11,168","143,05","64,97","-27,75","67,11","67,11","17,37%","9,76%","1,23","22,91%","52,97%","0,00","72.920.000,00","2,96","-29,63%"
SQIA3,"15,91","120,08","1,75","4,555","0,10%","1,122","2,46","47,05","6,20","34,35","14,89","9,68%","4,28%","6,56","4,77%","1,46%","17.552.600,00","798.855.000,00","0,30","24,57%"
NETC3,"38,50","123,10","2,12","1,290","0,00%","1,074","-33,02","10,82","-2,96","12,15","5,27","11,93%","1,55%","0,80","10,95%","1,72%","0,00","6.812.390.000,00","0,28","66,63%"
NETC4,"40,00","127,89","2,20","1,340","0,00%","1,116","-34,31","11,24","-3,08","12,57","5,45","11,93%","1,55%","0,80","10,95%","1,72%","0,00","6.812.390.000,00","0,28","66,63%"
FLCL3,"11,50","134,20","71,08","13,094","0,00%","12,959","166,00","75,40","-32,21","77,54","77,54","17,37%","9,76%","1,23","22,91%","52,97%","0,00","72.920.000,00","2,96","-29,63%"
PRGA4,"75,00","145,27","7,20","1,260","0,00%","1,090","12,14","21,68","-2,92","27,93","14,13","5,82%","0,90%","1,24","8,36%","4,96%","0,00","8.462.530.000,00","3,01","10,56%"
FLCL5,"12,50","145,87","77,26","14,232","0,00%","14,086","180,44","81,95","-35,01","84,09","84,09","17,37%","9,76%","1,23","22,91%","52,97%","0,00","72.920.000,00","2,96","-29,63%"
GUAR4,"151,00","145,93","14,60","10,857","0,00%","5,560","27,42","274,22","-213,51","280,30","94,51","3,96%","7,44%","1,52","2,54%","10,01%","0,00","5.161.370.000,00","0,68","1,22%"
TMAR3,"62,00","166,16","1,04","0,765","0,00%","0,268","2,20","5,96","-0,74","10,21","3,96","12,84%","-0,42%","1,62","5,78%","0,63%","0,00","20.448.500.000,00","1,38","14,80%"
RAIL3,"15,25","187,83","1,91","3,801","0,00%","0,587","3,56","17,94","-1,36","25,39","11,74","21,18%","2,09%","2,79","4,14%","1,02%","203.991.000,00","14.795.400.000,00","1,43","5,17%"
HAPV3,"11,98","219,75","8,06","8,952","0,17%","4,916","192,97","163,76","-27,84","162,85","58,96","5,47%","4,13%","1,14","3,56%","3,67%","451.559.000,00","10.615.600.000,00","0,19","37,43%"
MLFT4,"22,39","247,03","23,49","56,889","0,00%","5,708","28,55","157,94","-20,52","165,33","104,20","36,02%","46,31%","5,31","4,56%","9,51%","0,00","1.762.140.000,00","1,94","1,01%"
ELEV3,"24,30","312,39","3,22","0,688","0,00%","0,954","5,75","37,19","-5,18","51,41","51,41","1,85%","0,27%","1,47","3,01%","1,03%","0,00","489.356.000,00","1,35","3,69%"
RHDS4,"1,00","363,45","29,50","4,977","0,00%","7,182","-593,56","68,11","-24,55","71,32","53,72","7,31%","1,17%","0,97","11,80%","8,12%","0,00","272.045.000,00","1,49","4,38%"
PRBC4,"14,54","382,99","36,77","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","9,60%","0,00","1.288.350.000,00","0,00","2,80%"
BIDI11,"18,75","465,45","1,90","0,000","0,24%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,41%","461.366.000,00","8.488.640.000,00","0,00","44,69%"
BIDI3,"6,26","466,20","1,90","0,000","0,24%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,41%","12.446.400,00","8.488.640.000,00","0,00","44,69%"
BIDI4,"6,39","475,88","1,94","0,000","0,23%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,41%","108.063.000,00","8.488.640.000,00","0,00","44,69%"
VIIA3,"3,62","578,63","1,02","0,179","0,00%","0,165","-7,50","5,57","-0,54","13,69","7,16","3,22%","0,03%","0,96","3,90%","0,18%","230.178.000,00","5.675.000.000,00","1,76","5,35%"
UBBR4,"7,49","610,27","1,99","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,33%","0,00","10.317.200.000,00","0,00","10,58%"
VVAR4,"4,84","773,64","1,36","0,240","0,00%","0,220","-10,03","7,45","-0,73","15,57","8,14","3,22%","0,03%","0,96","3,90%","0,18%","0,00","5.675.000.000,00","1,76","5,35%"
VVAR11,"14,58","776,84","1,37","0,241","0,00%","0,221","-10,08","7,48","-0,73","15,60","8,16","3,22%","0,03%","0,96","3,90%","0,18%","0,00","5.675.000.000,00","1,76","5,35%"
SEQL3,"14,85","1.136,00","3,44","1,465","0,00%","1,074","19,58","117,38","-2,88","143,95","18,12","1,25%","0,13%","1,21","1,09%","0,30%","28.206.600,00","602.733.000,00","1,13","0,00%"
UBBR11,"14,75","1.201,81","3,91","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,33%","0,00","10.317.200.000,00","0,00","10,58%"
UBBR3,"18,00","1.466,61","4,77","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,33%","0,00","10.317.200.000,00","0,00","10,58%"
GLOB4,"30,49","4.873,60","8,59","1,512","0,00%","1,389","-63,21","46,91","-4,59","55,03","28,77","3,22%","0,03%","0,96","3,90%","0,18%","0,00","5.675.000.000,00","1,76","5,35%"
LWSA3,"9,18","12.840,00","1,84","7,802","0,00%","1,289","3,21","171,98","5,24","118,15","34,17","4,54%","0,06%","3,82","1,33%","0,01%","156.066.000,00","2.950.560.000,00","0,04","53,23%"
AESB3,"11,10","14.594,20","1.694,77","2.794,040","1,69%","461,114","10.378,60","36.962,70","-998,25","36.993,20","10.426,70","7,56%","21,72%","1,29","1,51%","11,61%","10.498.300,00","3.223.080,00","1,93","0,00%"
BBTG12,"3,15","66.496,50","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","0,00%"
