Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
NUTR3,"253,00","7,61","1,59","0,278","0,00%","0,401","1,17","7,33","-3,40","9,62","8,65","3,79%","3,65%","2,20","6,29%","20,85%","0,00","20.426.000,00","0,52","31,94%"
VULC3,"8,90","7,62","1,72","1,282","3,93%","1,049","2,90","13,83","3,62","15,23","10,51","9,27%","16,83%","2,15","8,80%","22,53%","4.502.980,00","1.274.530.000,00","0,29","1,28%"
DPPI4,"38,90","7,62","2,28","-0,665","0,00%","1,718","3,98","87,28","4,46","73,74","73,74","-0,76%","-5,04%","3,14","3,00%","29,97%","0,00","545.227.000,00","0,06","15,14%"
CRPG3,"75,78","7,62","2,53","2,256","0,00%","1,840","3,69","9,73","5,31","8,78","7,94","23,18%","29,59%","5,15","24,33%","33,15%","184,83","870.219.000,00","0,00","12,56%"
EALT3,"10,02","7,64","1,16","0,666","11,46%","0,469","6,23","6,55","-3,27","9,22","6,87","10,17%","8,72%","1,20","8,05%","15,17%","2.892,80","194.506.000,00","0,61","19,01%"
SANB11,"30,57","7,64","0,00","0,000","11,09%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","99.681.500,00","0,00","0,00","6,83%"
CCTU4,"37,28","7,65","0,92","0,307","0,00%","0,405","2,29","14,56","-28,32","21,77","21,77","2,10%","4,00%","1,48","2,96%","12,07%","0,00","82.550.000,00","0,48","12,54%"
CGAS3,"123,01","7,69","14,75","1,392","9,01%","1,328","-41,84","6,39","-2,32","8,76","7,48","21,80%","18,10%","0,91","26,29%","191,74%","11.341,10","1.105.220.000,00","6,29","18,45%"
BRSR5,"17,86","7,70","0,81","0,000","6,71%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","10,49%","1.903,54","9.046.220.000,00","0,00","7,31%"
CPFE3,"29,65","7,73","2,32","0,909","12,48%","0,554","17,78","5,04","-1,10","7,20","5,94","18,04%","12,01%","1,14","13,04%","29,96%","70.515.700,00","14.756.100.000,00","1,33","8,76%"
EZTC3,"17,03","7,77","0,88","3,704","2,49%","0,764","2,07","14,10","2,39","10,41","10,26","26,27%","49,63%","6,45","6,89%","11,33%","45.008.400,00","4.389.920.000,00","0,00","11,42%"
